Date,Open,High,Low,Close,Adj Close,Volume
2014-12-05,6577.600098,6578.290039,6448.339844,6475.209961,6334.327148,149355
2014-12-09,6475.209961,6475.209961,6282.149902,6304.620117,6167.448730,233216
2014-12-10,6304.620117,6388.740234,6252.939941,6291.729980,6154.838867,225840
2014-12-11,6291.729980,6301.790039,6184.549805,6210.629883,6075.502930,361289
2014-12-12,6210.629883,6204.089844,6111.270020,6138.330078,6004.776855,475976
2014-12-15,6138.330078,6077.069824,6032.129883,6041.709961,5910.258301,306692
2014-12-16,6041.709961,6052.649902,5911.959961,5990.509766,5860.172852,263033
2014-12-17,5990.509766,6008.779785,5910.879883,5943.509766,5814.194824,351530
2014-12-18,5943.509766,6056.560059,5959.830078,5977.910156,5847.846680,172242
2014-12-19,5977.910156,6099.839844,5959.830078,6000.080078,5869.534180,142768
2014-12-22,6000.080078,6042.879883,5969.600098,6020.700195,5889.706055,103307
2014-12-23,6020.700195,6028.220215,5959.930176,5977.220215,5847.171875,25987
2014-12-24,5977.220215,5974.490234,5969.600098,5969.600098,5839.717285,347642
2014-12-26,5969.600098,5974.490234,5959.830078,5970.580078,5840.676270,7574
2014-12-29,5970.580078,5984.259766,5915.859863,5922.700195,5793.837402,174080
2014-12-30,5922.700195,5989.240234,5925.629883,5956.509766,5826.911621,53379
2015-01-02,5956.509766,5959.830078,5920.750000,5934.919922,5805.791992,37332
2015-01-05,5934.919922,5959.830078,5894.270020,5945.470215,5816.112793,106000
2015-01-06,5945.470215,5950.060059,5910.979980,5926.509766,5797.564453,99731
2015-01-07,5935.410156,5979.180176,5915.770020,5965.109863,5835.324707,119505
2015-01-08,5964.720215,6028.220215,5959.830078,5983.669922,5853.481445,111576
2015-01-09,5983.080078,5989.140137,5960.810059,5974.680176,5844.687012,113829
2015-01-12,5974.680176,5981.330078,5960.810059,5970.680176,5840.773926,177592
2015-01-13,5970.680176,5979.370117,5954.950195,5963.250000,5833.505371,184796
2015-01-14,5963.250000,6018.450195,5963.740234,6000.180176,5869.632324,121145
2015-01-15,6000.180176,6084.890137,5998.910156,6001.350098,5870.776855,97047
2015-01-16,6001.350098,5998.910156,5979.370117,5980.540039,5850.419434,45041
2015-01-19,5980.540039,5989.140137,5891.439941,5893.689941,5765.458984,27016
2015-01-20,5893.689941,5976.339844,5891.439941,5938.729980,5809.519043,136074
2015-01-21,5938.729980,6047.759766,5901.209961,5989.140137,5858.832520,80582
2015-01-22,5989.140137,6193.339844,5862.129883,6148.589844,6014.812500,152581
2015-01-23,6148.589844,6252.939941,6057.529785,6094.459961,5961.860840,116930
2015-01-26,6094.459961,6155.229980,6008.680176,6145.370117,6011.663086,116310
2015-01-27,6145.370117,6106.379883,6057.529785,6105.700195,5972.855957,110158
2015-01-28,6105.700195,6116.149902,6057.529785,6081.370117,5949.056152,208383
2015-01-29,6081.370117,5987.970215,5861.049805,5878.839844,5750.931641,520699
2015-01-30,5878.839844,5876.779785,5793.740234,5815.229980,5688.706055,335853
2015-02-02,5815.229980,5910.879883,5813.279785,5824.899902,5698.165527,418454
2015-02-03,5824.899902,5842.589844,5788.850098,5795.689941,5669.591309,1237616
2015-02-04,5795.689941,5803.410156,5742.830078,5774.000000,5648.373535,241258
2015-02-05,5774.000000,5960.029785,5759.540039,5941.950195,5812.669434,220915
2015-02-06,5941.950195,6204.089844,5957.879883,6188.839844,6054.187012,269178
2015-02-09,6188.839844,6155.229980,6106.379883,6110.390137,5977.444336,50424
2015-02-10,6110.390137,6155.229980,6106.290039,6126.609863,5993.311523,375840
2015-02-11,6126.609863,6155.229980,6129.830078,6130.520020,5997.136230,408525
2015-02-12,6130.520020,6839.149902,6106.479980,6257.629883,6121.480957,99725
2015-02-13,6257.629883,6252.939941,6184.250000,6226.359863,6090.891113,105196
2015-02-16,6223.629883,6223.629883,6122.109863,6219.330078,6084.013672,8793
2015-02-17,6219.330078,6155.720215,6106.379883,6147.029785,6013.286133,216329
2015-02-18,6147.029785,6199.200195,6155.140137,6189.140137,6054.480957,271233
2015-02-19,6189.140137,6350.640137,6156.310059,6255.770020,6119.661133,268224
2015-02-20,6255.770020,6370.180176,6214.930176,6343.509766,6205.492188,53258
2015-02-23,6343.509766,6643.750000,6321.430176,6496.020020,6354.684082,242305
2015-02-24,6496.020020,6458.109863,6265.740234,6342.819824,6204.817383,273282
2015-02-25,6342.819824,6340.870117,6160.120117,6261.930176,6125.687500,208379
2015-02-26,6261.930176,6331.000000,6155.229980,6239.160156,6103.412598,55650
2015-02-27,6239.160156,6419.229980,6239.160156,6348.000000,6209.884277,145443
2015-03-02,6348.000000,6582.580078,6111.370117,6138.819824,6005.255371,101148
2015-03-03,6138.819824,6188.549805,6137.649902,6171.160156,6036.892578,43838
2015-03-04,6171.160156,6350.640137,6204.089844,6254.600098,6118.516602,171333
2015-03-05,6254.600098,6282.250000,6156.209961,6223.720215,6088.308594,47373
2015-03-06,6223.720215,6243.169922,6116.149902,6126.799805,5993.497070,142323
2015-03-09,6126.799805,6126.020020,5863.109863,6067.790039,5935.770996,32793
2015-03-10,6067.790039,6067.299805,5964.810059,6048.540039,5916.939941,50619
2015-03-11,6048.540039,6155.229980,5940.290039,5959.830078,5830.159668,172552
2015-03-12,5959.830078,6047.759766,5940.290039,5998.419922,5867.910645,46092
2015-03-13,5998.419922,6042.580078,5959.830078,6029.979980,5898.783691,41530
2015-03-16,6029.979980,6204.089844,6029.299805,6156.209961,6022.267090,104916
2015-03-17,6194.319824,6194.319824,6057.529785,6061.640137,5929.755371,36094
2015-03-18,6061.640137,6106.379883,6057.529785,6066.419922,5934.431152,35379
2015-03-19,6066.419922,6106.580078,6067.299805,6106.379883,5973.520996,201616
2015-03-20,6106.379883,6143.709961,6037.990234,6088.209961,5955.746582,145763
2015-03-23,6088.209961,6106.379883,6058.509766,6078.640137,5946.384277,189889
2015-03-24,6078.640137,6252.839844,6125.919922,6208.970215,6073.879395,399086
2015-03-25,6208.970215,6194.220215,6106.379883,6146.729980,6012.993164,46949
2015-03-26,6146.729980,6147.419922,6056.459961,6117.810059,5984.702637,257049
2015-03-27,6117.810059,6208.970215,6106.379883,6203.700195,6068.724121,109928
2015-03-30,6203.700195,6251.959961,6174.779785,6244.830078,6108.958984,151454
2015-03-31,6244.830078,6349.660156,6195.290039,6305.310059,6168.123047,246330
2015-04-01,6305.310059,6448.339844,6301.790039,6392.060059,6252.985840,153475
2015-04-02,6392.060059,6399.490234,6350.640137,6397.149902,6257.965332,19853
2015-04-06,6397.149902,6397.149902,6350.640137,6379.950195,6241.139160,91975
2015-04-07,6379.950195,6448.240234,6277.359863,6304.819824,6167.643555,80732
2015-04-08,6304.819824,6419.520020,6252.939941,6333.830078,6196.022949,437943
2015-04-09,6333.830078,6321.229980,6252.939941,6289.279785,6152.441895,31941
2015-04-10,6289.279785,6394.609863,6296.899902,6383.080078,6244.201172,20175
2015-04-13,6383.080078,6449.319824,6381.899902,6428.799805,6288.926270,191949
2015-04-14,6428.799805,6433.689941,6350.640137,6411.020020,6271.533203,37939
2015-04-15,6411.020020,6428.799805,6350.640137,6362.270020,6223.844238,82919
2015-04-16,6362.270020,6380.049805,6272.580078,6366.660156,6228.138672,36979
2015-04-17,6366.660156,6360.310059,6311.560059,6314.390137,6177.005859,17911
2015-04-20,6314.390137,6314.879883,6213.859863,6258.899902,6122.722656,44727
2015-04-21,6252.939941,6497.189941,6252.939941,6482.240234,6341.203613,23570
2015-04-22,6482.240234,6545.950195,6360.410156,6509.600098,6367.968262,45219
2015-04-23,6509.600098,6546.040039,6448.339844,6464.459961,6323.810547,10572
2015-04-24,6464.459961,6448.339844,6360.509766,6416.979980,6277.363281,37084
2015-04-27,6416.979980,6643.750000,6399.490234,6574.180176,6431.143555,91733
2015-04-28,6574.180176,6594.890137,6545.069824,6552.790039,6410.219238,185550
2015-04-29,6552.790039,6565.580078,6497.189941,6511.160156,6369.494629,64427
2015-04-30,6511.160156,6829.379883,6516.729980,6758.640137,6611.589844,193469
2015-05-04,6758.640137,6758.060059,6643.750000,6678.919922,6533.604492,72592
2015-05-05,6740.470215,7083.500000,6670.319824,7041.299805,6888.099609,229573
2015-05-06,7032.600098,7052.339844,6810.229980,7022.830078,6870.031738,78075
2015-05-07,7022.830078,7022.830078,6839.250000,6934.600098,6783.721680,75372
2015-05-08,6934.600098,7015.009766,6839.250000,6971.339844,6819.662598,51230
2015-05-11,6971.339844,7093.180176,6985.799805,7079.500000,6925.469238,30890
2015-05-12,7079.500000,7083.410156,6985.700195,7066.500000,6912.751953,25391
2015-05-13,7066.500000,7132.259766,7034.549805,7035.240234,6882.171875,55587
2015-05-14,7035.240234,7073.640137,6839.250000,6923.859863,6773.215332,51680
2015-05-15,6936.850098,6985.700195,6936.359863,6936.950195,6786.020508,61541
2015-05-18,6936.950195,7029.669922,6907.540039,7029.669922,6876.722656,18303
2015-05-19,7029.669922,7325.799805,7034.549805,7267.770020,7109.642578,151307
2015-05-20,7327.660156,7327.660156,7174.950195,7255.850098,7131.343750,392893
2015-05-22,7255.850098,7327.660156,7132.259766,7314.080078,7188.574707,119110
2015-05-25,7314.080078,7313.979980,7151.890137,7275.189941,7150.352051,11910
2015-05-26,7275.189941,7283.689941,7131.279785,7134.990234,7012.557617,91061
2015-05-27,7134.990234,7269.040039,7131.279785,7186.290039,7062.977051,105585
2015-05-28,7186.290039,7269.040039,7034.549805,7249.689941,7125.289063,40963
2015-05-29,7249.689941,7571.919922,7143.000000,7263.959961,7139.313965,372431
2015-06-01,7263.959961,7278.810059,6937.830078,7029.379883,6908.759766,214276
2015-06-02,7029.379883,7228.979980,6936.950195,7030.060059,6909.428223,124995
2015-06-03,7030.060059,7083.410156,6939.779785,6966.939941,6847.391113,59478
2015-06-04,6966.939941,7127.370117,6844.040039,6892.890137,6774.611816,76070
2015-06-05,6892.890137,6966.160156,6837.979980,6909.689941,6791.123535,61374
2015-06-08,6909.689941,6966.160156,6790.299805,6844.520020,6727.072266,50407
2015-06-09,6844.520020,7156.390137,6844.040039,7032.890137,6912.209473,317402
2015-06-10,7032.890137,7278.709961,7032.890137,7186.290039,7062.977051,146169
2015-06-11,7186.290039,7278.810059,7098.160156,7198.600098,7075.076172,244606
2015-06-12,7198.600098,7327.660156,7102.950195,7206.120117,7082.467285,238466
2015-06-15,7206.120117,7181.109863,7034.549805,7113.109863,6991.052734,13430
2015-06-16,7113.109863,7112.720215,6956.390137,6982.669922,6862.851074,152652
2015-06-17,6982.669922,7034.549805,6878.229980,6942.129883,6823.006836,155062
2015-06-18,7024.779785,7024.779785,6795.279785,6848.819824,6731.297852,83174
2015-06-19,6848.819824,6888.000000,6674.129883,6857.319824,6739.651855,151008
2015-06-22,6857.319824,6936.850098,6839.149902,6886.540039,6768.371094,33700
2015-06-23,6936.850098,7010.319824,6848.819824,6867.000000,6749.166504,88290
2015-06-24,6927.080078,6927.080078,6693.569824,6877.839844,6759.819824,101781
2015-06-25,6877.839844,6936.750000,6839.149902,6882.240234,6764.144531,85061
2015-06-26,6934.899902,6934.899902,6863.580078,6910.080078,6791.506836,108643
2015-06-30,6910.080078,6936.850098,6829.379883,6914.870117,6796.214844,60561
2015-07-01,6914.870117,6936.850098,6742.520020,6775.350098,6659.088867,179753
2015-07-02,6775.350098,6926.100098,6574.379883,6819.220215,6702.206543,87868
2015-07-03,6819.220215,6880.189941,6643.839844,6825.180176,6708.063965,34644
2015-07-06,6825.180176,6873.250000,6741.450195,6797.720215,6681.075195,15670
2015-07-07,6797.720215,6880.189941,6721.910156,6844.819824,6727.366699,33201
2015-07-08,6844.819824,6935.879883,6643.649902,6710.180176,6595.037598,56490
2015-07-09,6710.180176,6839.049805,6682.830078,6749.069824,6633.259766,55877
2015-07-10,6790.299805,6935.879883,6761.970215,6857.520020,6739.848633,182234
2015-07-13,6857.520020,6985.700195,6712.140137,6809.839844,6692.986816,35159
2015-07-14,6809.839844,6809.839844,6752.200195,6779.939941,6663.599609,24609
2015-07-15,6779.939941,6927.080078,6643.750000,6796.549805,6679.924805,267542
2015-07-17,6984.729980,6984.729980,6692.600098,6768.899902,6652.749512,60005
2015-07-20,6768.899902,6839.049805,6768.799805,6820.680176,6703.641113,34139
2015-07-21,6663.290039,6936.850098,6663.290039,6889.080078,6770.867676,180074
2015-07-22,6889.080078,6887.810059,6829.379883,6845.790039,6728.319824,33041
2015-07-23,6845.790039,6927.080078,6790.299805,6803.979980,6687.227539,27429
2015-07-24,6803.979980,6800.069824,6673.060059,6694.839844,6579.959961,20362
2015-07-27,6694.839844,6736.560059,6449.319824,6654.689941,6540.499023,116436
2015-07-28,6644.819824,6789.319824,6643.939941,6646.870117,6532.813477,146771
2015-07-29,6646.870117,6839.049805,6594.890137,6708.819824,6593.700195,91625
2015-07-30,6708.229980,6825.470215,6653.520020,6684.680176,6569.975098,47949
2015-07-31,6684.680176,6839.049805,6718.100098,6806.709961,6689.910645,136128
2015-08-03,6806.709961,6828.399902,6604.859863,6697.479980,6582.555176,46563
2015-08-04,6697.479980,6741.450195,6448.339844,6550.729980,6438.323242,175398
2015-08-05,6550.729980,6740.470215,6399.490234,6447.759766,6337.119629,93537
2015-08-06,6447.759766,6399.490234,6161.100098,6255.770020,6148.424316,100160
2015-08-07,6255.770020,6467.779785,6252.939941,6380.339844,6270.856934,77599
2015-08-10,6380.339844,6546.040039,6350.640137,6351.029785,6242.049316,197997
2015-08-11,6351.029785,6350.740234,6233.399902,6240.330078,6133.249512,44924
2015-08-12,6240.330078,6301.689941,6165.009766,6203.600098,6097.149414,314013
2015-08-13,6240.240234,6301.689941,6208.970215,6223.240234,6116.453125,94136
2015-08-14,6223.240234,6238.279785,6116.250000,6155.040039,6049.422852,403381
2015-08-17,6155.040039,6300.810059,6029.200195,6057.729980,5953.782715,723956
2015-08-18,6057.729980,6155.229980,6018.450195,6038.089844,5934.479492,14709
2015-08-19,6038.089844,6194.319824,6057.529785,6188.839844,6082.642578,394553
2015-08-20,6188.839844,6399.490234,6151.330078,6300.620117,6192.505371,58475
2015-08-21,6300.620117,6287.129883,6203.109863,6249.910156,6142.665039,41519
2015-08-24,6249.910156,6262.709961,5910.979980,6123.680176,6018.601563,64748
2015-08-25,6123.680176,6301.790039,6008.580078,6183.370117,6077.267090,635345
2015-08-26,6183.370117,6302.669922,6182.689941,6191.290039,6085.050781,444190
2015-08-27,6191.290039,6497.189941,6195.000000,6437.399902,6326.937988,358623
2015-08-28,6458.109863,6458.109863,6204.180176,6226.259766,6119.420898,137366
2015-08-31,6226.259766,6398.509766,6062.419922,6335.500000,6226.786133,63734
2015-09-01,6335.500000,6338.520020,6108.439941,6160.609863,6054.897461,294626
2015-09-02,6160.609863,6252.939941,6155.229980,6230.759766,6123.843262,23125
2015-09-03,6230.759766,6350.640137,6189.430176,6275.020020,6167.344238,43958
2015-09-04,6275.020020,6252.939941,6135.689941,6191.870117,6085.621094,97298
2015-09-07,6191.870117,6252.939941,6154.060059,6189.040039,6082.839355,13826
2015-09-08,6189.040039,6301.790039,6165.009766,6168.330078,6062.484863,95346
2015-09-09,6168.330078,6350.640137,6105.410156,6127.589844,6022.443848,46686
2015-09-10,6127.589844,6252.939941,6203.990234,6248.049805,6140.836914,110899
2015-09-11,6248.049805,6301.790039,6165.009766,6254.109863,6146.792969,56232
2015-09-14,6254.109863,6350.640137,6165.009766,6242.189941,6135.077637,29430
2015-09-15,6242.189941,6438.569824,6262.810059,6371.939941,6262.601074,493740
2015-09-16,6371.939941,6497.189941,6372.129883,6476.770020,6365.632324,215082
2015-09-17,6476.770020,6526.410156,6458.109863,6482.149902,6370.919922,407691
2015-09-21,6482.149902,6526.500000,6404.379883,6424.009766,6313.777832,35133
2015-09-22,6424.009766,6448.339844,6253.910156,6305.700195,6197.498047,31556
2015-09-23,6305.700195,6460.069824,6155.229980,6190.109863,6083.891113,259848
2015-09-24,6190.109863,6350.540039,6106.379883,6230.759766,6123.843262,472573
2015-09-25,6230.759766,6350.640137,6282.250000,6292.410156,6184.436035,106220
2015-09-28,6292.410156,6326.209961,6194.319824,6256.850098,6149.486328,42410
2015-09-29,6256.850098,6346.629883,6262.709961,6335.979980,6227.258301,44744
2015-09-30,6335.979980,6428.799805,6335.890137,6420.790039,6310.613281,173184
2015-10-01,6420.790039,6501.000000,6302.770020,6412.089844,6302.062012,99060
2015-10-02,6412.089844,6492.209961,6350.640137,6409.459961,6299.477051,319944
2015-10-05,6409.459961,6498.169922,6409.459961,6477.649902,6366.497070,29307
2015-10-06,6477.649902,6536.180176,6433.689941,6465.240234,6354.300781,63876
2015-10-07,6465.240234,6497.189941,6302.859863,6490.450195,6379.077637,182224
2015-10-08,6497.089844,6497.089844,6438.470215,6442.770020,6332.215820,60746
2015-10-09,6442.770020,6555.810059,6448.339844,6484.100098,6372.836426,227037
2015-10-13,6484.100098,6536.270020,6453.319824,6520.839844,6408.946289,179820
2015-10-14,6643.750000,6643.750000,6450.879883,6516.049805,6404.237793,83160
2015-10-15,6516.049805,6575.350098,6448.339844,6499.930176,6388.395020,47822
2015-10-16,6499.930176,6565.490234,6414.149902,6428.120117,6317.816895,74062
2015-10-19,6428.120117,6477.459961,6438.569824,6458.990234,6348.157715,82362
2015-10-20,6458.990234,6496.020020,6399.779785,6466.810059,6355.842773,103752
2015-10-21,6466.810059,6594.890137,6399.490234,6469.149902,6358.143066,66547
